Ubadō Station	姥堂駅（うばどう）
Unoshima Station	宇島駅（うのしま）
Unosumai Station	鵜住居駅（うのすまい）
Unsenji Station	雲泉寺駅（うんせんじ）
Unshū-Hirata Station	雲州平田駅（うんしゅうひらた）
Unuma Station	鵜沼駅（うぬま）
Unumajuku Station	鵜沼宿駅（うぬまじゅく）
Uonuma-Kyūryō Station	魚沼丘陵駅（うおぬまきゅうりょう）
Uonuma-Nakajō Station	魚沼中条駅（うおぬまなかじょう）
Uonuma-Tanaka Station	魚沼田中駅（うおぬまたなか）
Uozaki Station	魚崎駅（うおざき）
Uozu Station	魚津駅（うおづ）
Uozumi Station	魚住駅（うおずみ）
Urada Station (Fukuoka)	浦田駅 (福岡県)（うらだ）
Urada Station (Okayama)	浦田駅 (岡山県)（うらだ）
Uraga Station	浦賀駅（うらが）
Uragawara Station	うらがわら駅
Urahoro Station	浦幌駅（うらほろ）
Urakami Station	浦上駅（うらかみ）
Urakamiekimae Station	浦上駅前駅（うらかみえきまえ）
Urakawa Station (Hokkaido)	浦河駅（うらかわ）
Urakawa Station (Shizuoka)	浦川駅（うらかわ）
Uramoto Station	浦本駅（うらもと）
Uranosaki Station	浦ノ崎駅（うらのさき）
Urasa Station	浦佐駅（うらさ）
Urashuku Station	浦宿駅（うらしゅく）
Urasoe-Maeda Station	浦添前田駅（うらそえまえだ）
Urata Station	浦田駅 (福岡県)（うらた）
Urausu Station	浦臼駅（うらうす）
Urawa Station	浦和駅（うらわ）
Urawa-Misono Station	浦和美園駅（うらわみその）
Urayama Station	浦山駅（うらやま）
Urayamaguchi Station	浦山口駅（うらやまぐち）
Urayasu Station (Chiba)	浦安駅 (千葉県)（うらやす）
Urayasu Station (Tottori)	浦安駅 (鳥取県)（うらやす）
Ureshino-onsen Station	嬉野温泉駅（うれしのおんせん）
Urizura Station	瓜連駅（うりづら）
Urushiyama Station	漆山駅 (山形県)（うるしやま）
Usa Station	宇佐駅（うさ）
Usami Station	宇佐美駅（うさみ）
