Yamato-Shinjō Station	大和新庄駅（やまとしんじょう）
Yamato-Takada Station	大和高田駅（やまとたかだ）
Yamato-Yagi Station	大和八木駅（やまとやぎ）
Yamatsuriyama Station	矢祭山駅（やまつりやま）
Yamazaki Station (Aichi)	山崎駅 (愛知県)（やまざき）
Yamazaki Station (Kyoto)	山崎駅 (京都府)（やまざき）
Yamoto Station	矢本駅（やもと）
Yamubetsu Station	止別駅（やむべつ）
Yamuramachi Station	谷村町駅（やむらまち）
Yanaba Station	簗場駅（やなば）
Yanaba Ski-jō Mae Station	ヤナバスキー場前駅（やなばすきーじょうまえ）
Yanagawa Station (Okayama)	柳川駅（やながわ）
Yanagawa Station (Fukushima)	梁川駅 (福島県)（やながわ）
Yanagawa Station (Yamanashi)	梁川駅 (山梨県)（やながわ）
Yanagawa-kibōnomori-kōen-mae Station	やながわ希望の森公園前駅（やながわきぼうのもりこうえんまえ）
Yanagi Station	柳駅（やなぎ）
Yanagigaura Station	柳ヶ浦駅（やなぎがうら）
Yanagihara Station (Ehime)	柳原駅 (愛媛県)（やなぎはら）
Yanagihara Station (Iwate)	柳原駅 (岩手県)（やなぎはら）
Yanagihara Station (Nagano)	柳原駅 (長野県)（やなぎはら）
Yanagikōji Station	柳小路駅（やなぎこうじ）
Yanagimoto Station	柳本駅（やなぎもと）
Yanagisawa Station	柳沢駅（やなぎさわ）
Yanagita Station	柳田駅（やなぎた）
Yanai Station	柳井駅（やない）
Yanaiminato Station	柳井港駅（やないみなと）
Yanaizu Station (Gifu)	柳津駅 (岐阜県)（やないづ）
Yanaizu Station (Miyagi)	柳津駅 (宮城県)（やないづ）
Yanase Station	梁瀬駅（やなせ）
Yanasegawa Station	柳瀬川駅（やなせがわ）
Yanaze Station	柳瀬駅（やなぜ）
Yano Station	矢野駅（やの）
Yanokuchi Station	矢野口駅（やのくち）
Yao Station	八尾駅（やお）
Yaominami Station	八尾南駅（やおみなみ）
Yaotome Station	八乙女駅（やおとめ）
Yariminai Station	鑓見内駅（やりみない）
Yasaka Station (Gifu)	八坂駅 (岐阜県)（やさか）
Yasaka Station (Tokyo)	八坂駅 (東京都)（やさか）
Yasehieizanguchi Station	八瀬比叡山口駅（やせひえいざんぐち）
Yashima Station (Kagawa)	屋島駅（やしま）
Yashima Station (Akita)	矢島駅（やしま）
Yashio Station	八潮駅（やしお）
Yashiro Station	屋代駅（やしろ）
Yashirochō Station	社町駅（やしろちょう）
Yashiroda Station	矢代田駅（やしろだ）
Yashirokōkō-mae Station	屋代高校前駅（やしろこうこうまえ）
Yashū-Hirakawa Station	野州平川駅（やしゅうひらかわ）
Yashū-Ōtsuka Station	野州大塚駅（やしゅうおおつか）
Yashū-Yamabe Station	野州山辺駅（やしゅうやまべ）
Yasoba Station	八十場駅（やそば）
Yasu Station (Kōchi)	夜須駅（やす）
Yasu Station (Shiga)	野洲駅（やす）
Yasuda Station (Kōchi)	安田駅 (高知県)（やすだ）
Yasuda Station (Niigata)	安田駅 (新潟県)（やすだ）
Yasuzuka Station	安塚駅（やすづか）
Yasugi Station	安来駅（やすぎ）
Yasuhigashi Station	安東駅（やすひがし）
Yasukuni Station	安国駅（やすくに）
Yasunoya Station	安野屋駅（やすのや）
Yasuoka Station	安岡駅（やすおか）
Yasutake Station	安武駅（やすたけ）
Yasuura Station	安浦駅（やすうら）
Yasuushi Station	安牛駅（やすうし）
Yata Station	矢田駅 (大阪府)（やた）
Yatagawa Station	谷田川駅（やたがわ）
Yatake Station	矢岳駅（やたけ）
Yatomi Station	弥富駅（やとみ）
Yatsu Station (Akita)	八津駅（やつ）
Yatsu Station (Chiba)	谷津駅（やつ）
Yatsugi Station	八次駅（やつぎ）
Yatsuka Station	谷塚駅（やつか）
Yatsumi Station	八積駅（やつみ）
Yatsumori Station	八ツ森駅（やつもり）
Yatsushima Station	八ツ島駅（やつしま）
Yawata Station	八幡駅 (愛知県)（やわた）
Yawatahama Station	八幡浜駅（やわたはま）
Yawatajuku Station	八幡宿駅（やわたじゅく）
Yawatashinden Station	八幡新田駅（やわたしんでん）
Yayoi Station	弥生駅（やよい）
Yayoidai Station	弥生台駅（やよいだい）
Yayoigaoka Station	弥生が丘駅（やよいがおか）
Yazaike Station	谷在家駅（やざいけ）
Yazukōkōmae Station	八頭高校前駅（やずこうこうまえ）
Yo[edit]
Yoake Station	夜明駅（よあけ）
Yobe Station	余部駅（よべ）
Yobito Station	呼人駅（よびと）
Yobitsugi Station	呼続駅（よびつぎ）
Yobuno Station	呼野駅（よぶの）
Yodo Station	淀駅（よど）
Yōdo Station	用土駅（ようど）
Yodoe Station	淀江駅（よどえ）
Yodogawa Station	淀川駅（よどがわ）
Yodoyabashi Station	淀屋橋駅（よどやばし）
Yōga Station	用賀駅（ようが）
Yogo Station	余呉駅（よご）
Yōgo Station	余戸駅（ようご）
Yoichi Station	余市駅（よいち）
Yōka Station	八鹿駅（ようか）
Yōkaichi Station	八日市駅（ようかいち）
Yōkaichiba Station	八日市場駅（ようかいちば）
Yōkan Station	遥堪駅（ようかん）
Yokkaichi Station	四日市駅（よっかいち）
Yokobori Station	横堀駅（よこぼり）
Yokoe Station	横江駅（よこえ）
Yōkoku Station	暘谷駅（ようこく）
Yōkōdai Station	洋光台駅（ようこうだい）
Yokogawa Station	横川駅 (広島県)（よこがわ）
Yokogawa Station	横川駅|広島電鉄横川線|横川駅（よこがわ）
Yokogawara Station	横河原駅（よこがわら）
Yokohama Station	横浜駅（よこはま）
Yokohama-Hazawa Station	横浜羽沢駅（よこはまはざわ）
Yokohama-Honmoku Station	横浜本牧駅（よこはまほんもく）
Yokoiso Station	横磯駅（よこいそ）
Yokokawa Station	横川駅 (群馬県)（よこかわ）
Yokokawame Station	横川目駅（よこかわめ）
Yokokura Station (Miyagi)	横倉駅 (宮城県)（よこくら）
Yokokura Station (Nagano)	横倉駅 (長野県)（よこくら）
Yokoma Station	横間駅（よこま）
Yokoo Station	横尾駅（よこお）
Yokoshiba Station	横芝駅（よこしば）
Yokosuka Station	横須賀駅（よこすか）
Yokosuka-Chūō Station	横須賀中央駅（よこすかちゅうおう）
Yokota Station	横田駅（よこた）
Yokote Station	横手駅（よこて）
Yokoya Station	横屋駅（よこや）
Yokoyama Station (Hyogo)	横山駅 (兵庫県)（よこやま）
Yokoyama Station (Ishikawa)	横山駅 (石川県)（よこやま）
Yokoze Station	横瀬駅（よこぜ）
Yokozutsumi Station	横堤駅（よこづつみ）
Yomase Station	夜間瀬駅（よませ）
Yomiuri-Land-mae Station	読売ランド前駅（よみうりらんどまえ）
Yomogita Station	蓬田駅（よもぎた）
Yonago Station	米子駅（よなご）
Yonago Airport Station	米子空港駅（よなごくうこう）
Yonaizawa Station	米内沢駅（よないざわ）
Yonezu Station	米津駅（よねづ）
Yonekawa Station	米川駅（よねかわ）
Yoneyama Station	米山駅（よねやま）
Yonezawa Station	米沢駅（よねざわ）
Yono Station	与野駅（よの）
Yonohonmachi Station	与野本町駅（よのほんまち）
Yonomori Station	夜ノ森駅（よのもり）
Yorihata Station	寄畑駅（よりはた）
Yorii Station	寄居駅（よりい）
Yoroi Station	鎧駅（よろい）
Yoshibori Station	吉堀駅（よしぼり）
Yosano Station	与謝野駅（よさの）
Yoshida Station	吉田駅 (新潟県)（よしだ）
Yoshidaguchi Station	吉田口駅（よしだぐち）
Yoshizuka Station	吉塚駅（よしづか）
Yoshihama Station (Aichi)	吉浜駅 (愛知県)（よしはま）
Yoshihama Station (Iwate)	吉浜駅 (岩手県)（よしはま）
Yoshii Station (Gunma)	吉井駅 (群馬県)（よしい）
Yoshii Station (Nagasaki)	吉井駅 (長崎県)（よしい）
Yoshiike-onsenmae Station	葭池温泉前駅（よしいけおんせんまえ）
Yoshikawa Station (Ishikawa)	良川駅（よしかわ）
Yoshikawa Station (Saitama)	吉川駅（よしかわ）
Yoshikawa Station (Kochi)	よしかわ駅
Yoshikawakōen Station	葭川公園駅（よしかわこうえん）
Yoshikawa-Minami Station	吉川美南駅（よしかわみなみ）
Yoshimatsu Station	吉松駅（よしまつ）
Yoshimi Station	吉見駅（よしみ）
