Eba Station	江波駅（えば）
Etchū-Funahashi Station	越中舟橋駅（えっちゅうふなはし）
Etchū-Izumi Station	越中泉駅（えっちゅういずみ）
Etchūjima Station	越中島駅（えっちゅうじま）
Etchū-Kokubu Station	越中国分駅（えっちゅうこくぶ）
Etchū-Miyazaki Station	越中宮崎駅（えっちゅうみやざき）
Etchū-Nakagawa Station	越中中川駅（えっちゅうなかがわ）
Etchū-Nakajima Station	越中中島駅（えっちゅうなかじま）
Etchū-Nakamura Station	越中中村駅（えっちゅうなかむら）
Etchū-Sangō Station	越中三郷駅（えっちゅうさんごう）
Etchū-Yamada Station	越中山田駅（えっちゅうやまだ）
Etchū-Yatsuo Station	越中八尾駅（えっちゅうやつお）
Ezuriko Station	江釣子駅（えづりこ）
