Imadegawa Station	今出川駅（いまでがわ）
Imafuku-Tsurumi Station	今福鶴見駅（いまふくつるみ）
Imagawa Station (Niigata)	今川駅 (新潟県)（いまがわ）
Imagawa Station (Osaka)	今川駅 (大阪府)（いまがわ）
Imagawakappa Station	今川河童駅（いまがわかっぱ）
Imaguma Station	今隈駅（いまぐま）
Imai Station	今井駅（いまい）
Imaichi Station	今市駅（いまいち）
Imaihamakaigan Station	今井浜海岸駅（いまいはまかいがん）
Imaike Station (Aichi)	今池駅 (愛知県)（いまいけ）
Imaike Station (Fukuoka)	今池駅 (福岡県)（いまいけ）
Imaike Station (Osaka)	今池駅 (大阪府)（いまいけ）
Imaise Station	今伊勢駅（いまいせ）
Imaizumi Station	今泉駅（いまいずみ）
Imajō Station	今庄駅（いまじょう）
Imajuku Station	今宿駅（いまじゅく）
Imamiya Station	今宮駅（いまみや）
Imamiyaebisu Station	今宮戎駅（いまみやえびす）
Imari Station	伊万里駅（いまり）
Imayama Station	今山駅（いまやま）
Imazato Station (Kintetsu)	今里駅 (近鉄)（いまざと）
Imazato Station (Osaka Municipal Subway)	今里駅 (大阪市営地下鉄)（いまざと）
Imazu Station (Hyogo)	今津駅 (兵庫県)（いまづ）
Imazu Station (Oita)	今津駅 (大分県)（いまづ）
Imba Station	印場駅（いんば）
Imba-Nihon-idai Station	印旛日本医大駅（いんばにほんいだい）
Imbara Station	因原駅（いんばら）
Imbe Station	伊部駅（いんべ）
Ina Station	伊奈駅（いな）
Inaba-Funaoka Station	因幡船岡駅（いなばふなおか）
Inaba-Yashiro Station	因幡社駅（いなばやしろ）
Ina-Chūō Station	伊奈中央駅（いなちゅうおう）
Inada Station	稲田駅（いなだ）
Inadazutsumi Station	稲田堤駅（いなだづつみ）
Inadera Station	猪名寺駅（いなでら）
Inae Station	稲枝駅（いなえ）
Inaei Station	稲永駅（いなえい）
Ina-Fukuoka Station	伊那福岡駅（いなふくおか）
Inage Station	稲毛駅（いなげ）
Inagekaigan Station	稲毛海岸駅（いなげかいがん）
Inagi Station	稲城駅（いなぎ）
Inagi-Naganuma Station	稲城長沼駅（いなぎながぬま）
Inahara Station	稲原駅（いなはら）
Inaho Station	稲穂駅（いなほ）
Ina-Hongō Station	伊那本郷駅（いなほんごう）
Inakadate Station	田舎館駅（いなかだて）
Ina-Kamisato Station	伊那上郷駅（いなかみさと）
Ina-Kita Station	伊那北駅（いなきた）
Inako Station (Mie)	依那古駅（いなこ）
Inako Station (Shizuoka)	稲子駅（いなこ）
Ina-Kozawa Station	伊那小沢駅（いなこざわ）
Ina-Matsushima Station	伊那松島駅（いなまつしま）
Inami Station	印南駅（いなみ）
Inamuragasaki Station	稲村ケ崎駅（いなむらがさき）
Inano Station	稲野駅（いなの）
Inao Station	稲尾駅（いなお）
Ina-Ōshima Station	伊那大島駅（いなおおしま）
Inari Station	稲荷駅（いなり）
Inarichō Station	稲荷町駅 (東京都)（いなりちょう）
Inariguchi Station	稲荷口駅（いなりぐち）
Inarimachi Station (Toyama)	稲荷町駅 (富山県)（いなりまち）
Inarimachi Station (Hiroshima)	稲荷町駅 (広島県)（いなりまち）
Inariyama Station	稲荷山駅（いなりやま）
Inariyamakōen Station	稲荷山公園駅（いなりやまこうえん）
Inashi Station	伊那市駅（いなし）
Inashibetsu Station	稲士別駅（いなしべつ）
Ina-Shimmachi Station	伊那新町駅（いなしんまち）
Ina-Tajima Station	伊那田島駅（いなたじま）
Inatoi Station	稲戸井駅（いなとい）
Inawashiro Station	猪苗代駅（いなわしろ）
Inawashirokohan Station	猪苗代湖畔駅（いなわしろこはん）
Ina-Yawata Station	伊那八幡駅（いなやわた）
Inazawa Station	稲沢駅（いなざわ）
Inazumikōen Station	稲積公園駅（いなづみこうえん）
Inazusa Station	稲梓駅（いなずさ）
Innai Station	院内駅（いんない）
Innoshō Station	院庄駅（いんのしょう）
Ino Station (Chiba)	井野駅 (千葉県)（いの）
Ino Station (Gunma)	井野駅 (群馬県)（いの）
Ino Station (JR Shikoku)	伊野駅 (JR四国)（いの）
Ino Station (Tosa Electric Railway)	伊野駅 (土佐電気鉄道)（いの）
Inō Station (Hokkaido)	伊納駅（いのう）
Inō Station (Yamaguchi)	居能駅（いのう）
Inoekimae Station	伊野駅前駅（いのえきまえ）
Inokashira-kōen Station	井の頭公園駅（いのかしらこうえん）
Inokuchi Station (Hiroshima)	井口駅 (広島県)（いのくち）
Inokuchi Station (Ishikawa)	井口駅 (石川県)（いのくち）
Inonada Station	伊野灘駅（いのなだ）
Inotani Station	猪谷駅（いのたに）
Inotsuki Station	いのつき駅
International Center Station	国際センター駅（こくさいせんたー）
Inubō Station	犬吠駅（いぬぼう）
Inuzuka Station	犬塚駅（いぬづか）
Inukai Station	犬飼駅（いぬかい）
Inukawa Station	犬川駅（いぬかわ）
Inuyama Station	犬山駅（いぬやま）
Inuyamaguchi Station	犬山口駅（いぬやまぐち）
Inuyama-yūen Station	犬山遊園駅（いぬやまゆうえん）
Inzai-Makinohara Station	印西牧の原駅（いんざいまきのはら）
Io - Is[edit]
Iogi Station	井荻駅（いおぎ）
Iohji-mae Station	医王寺前駅（いおうじまえ）
Ioki Station	伊尾木駅（いおき）
Ippommatsu Station (Fukuoka)	一本松駅 (福岡県)（いっぽんまつ）
Ippommatsu Station (Saitama)	一本松駅 (埼玉県)（いっぽんまつ）
Iragawa Station	五十川駅（いらがわ）
Ireji Station	入地駅（いれじ）
Iri Station	伊里駅（いり）
Iriake Station	入明駅（いりあけ）
Irieoka Station	入江岡駅（いりえおか）
Irigaikekōen Station	杁ヶ池公園駅（いりがいけこうえん）
Irihirose Station	入広瀬駅（いりひろせ）
Irinaka Station	いりなか駅（いりなか）
Irino Station	入野駅 (鹿児島県)（いりの）
Iriso Station	入曽駅（いりそ）
Iriuda Station	入生田駅（いりうだ）
Iriya Station (Kanagawa)	入谷駅 (神奈川県)（いりや）
Iriya Station (Tokyo)	入谷駅 (東京都)（いりや）
Iriyamase Station	入山瀬駅（いりやませ）
Irumashi Station	入間市駅（いるまし）
Iryō Center Station	医療センター駅（いりょうせんたー）
Isa Station	石原駅 (京都府)（いさ）
Isahaya Station	諫早駅（いさはや）
Isahaya-higashi-kōkō Station	諫早東高校駅（いさはやひがしこうこう）
Isaida Station	井細田駅（いさいだ）
Isaryō Station	伊佐領駅（いさりょう）
Isawaonsen Station	石和温泉駅（いさわおんせん）
Ise-Asahi Station	伊勢朝日駅（いせあさひ）
Iseda Station	伊勢田駅（いせだ）
Isegi Station	井関駅（いせぎ）
Isehara Station	伊勢原駅（いせはら）
Ise-Hata Station	伊勢八太駅（いせはた）
Ise-Hatta Station	伊勢治田駅（いせはった）
Ise-Ishibashi Station	伊勢石橋駅（いせいしばし）
Ise-Kamakura Station	伊勢鎌倉駅（いせかまくら）
Ise-Kashiwazaki Station	伊勢柏崎駅（いせかしわざき）
Ise-Kawaguchi Station	伊勢川口駅（いせかわぐち）
Ise-Kawashima Station	伊勢川島駅（いせかわしま）
Ise-Matsumoto Station	伊勢松本駅（いせまつもと）
Ise-Nakagawa Station	伊勢中川駅（いせなかがわ）
Ise-Nakahara Station	伊勢中原駅（いせなかはら）
Ise-Okitsu Station	伊勢奥津駅（いせおきつ）
Ise-Ōi Station	伊勢大井駅（いせおおい）
Isesaki Station	伊勢崎駅（いせさき）
Iseshi Station	伊勢市駅（いせし）
Ise-Takehara Station	伊勢竹原駅（いせたけはら）
Ise-Ueno Station	伊勢上野駅（いせうえの）
Ise-Wakamatsu Station	伊勢若松駅（いせわかまつ）
Ise-Yachi Station	伊勢八知駅（いせやち）
Isezakichōjamachi Station	伊勢佐木長者町駅（いせざきちょうじゃまち）
Ishiba Station	石場駅（いしば）
Ishibashi Station (Osaka)	石橋駅 (大阪府)（いしばし）
Ishibashi Station (Tochigi)	石橋駅 (栃木県)（いしばし）
Ishibe Station	石部駅（いしべ）
Ishibotoke Station	石仏駅（いしぼとけ）
Ishida Station (Fukuoka)	石田駅 (福岡県)（いしだ）
Ishida Station (Kyoto)	石田駅 (京都府)（いしだ）
Ishidoriya Station	石鳥谷駅（いしどりや）
Ishiga Station	石蟹駅（いしが）
Ishikaki Station	石垣駅（いしかき）
Ishigami Station	石上駅（いしがみ）
